time,S1,I1,R1,V1,S2,I2,R2,V2,S3,I3,R3,V3,Med_Cost,Wage_Loss,Death_Cost,Vacc_Cost,GDP_Loss,Total_Rate,Cumulative_Med_Cost,Cumulative_Wage_Loss,Cumulative_Death_Cost,Cumulative_Vacc_Cost,Cumulative_GDP_Loss,Cumulative_Cost
66.0,3616519.3930144846,2025.468453235069,2628.920173821812,2624900.2183584534,18238269.35940583,23573.042241170813,19761.153025029158,13248904.445327954,8073126.041429077,19566.116201181525,9309.249730070407,5870159.592639677,11231785.706181893,2796578.3063258473,1294857.7588753894,777564161.8062208,5681363.14014439,798568746.7177483,122756094.49359185,30702891.52747213,14020073.610718187,30243321489.954414,380651330.38967425,30791451879.975857
67.0,3593105.7733973865,2194.3649066357207,2880.173537141566,2647893.6881588306,18118394.656493645,25609.516751421903,21708.455435105112,13364795.371319814,8019189.150002169,21299.78235269847,10245.879130825266,5921426.188514314,12214521.666787967,3039783.3800114207,1409574.484546672,784363961.2682282,5681363.14014439,806709203.9397186,134970616.16037983,33742674.90748355,15429648.09526486,31027685451.22264,386332693.52981865,31598161083.915577
68.0,3570008.509015761,2374.847747845824,3152.064367070419,2670538.5788693167,17999984.080632206,27792.30730441303,23821.57761524669,13478910.03444812,7965836.782526435,23162.26261928811,11264.356206880695,5971897.598647403,13269092.8409887,3300623.629766944,1532813.423843154,791059340.5398625,5681363.14014439,814843233.5746057,148239709.00136852,37043298.53725049,16962461.519108012,31818744791.762505,392014056.66996306,32413004317.49018
69.0,3547220.7330375314,2567.5105132007984,3445.978959352683,2692839.777489909,17882994.540844776,30129.44376923873,26112.20206494053,13591271.813321033,7913045.798970388,25160.992093043205,12370.650534004668,6021583.558402571,14399548.003518933,3580081.11359468,1665066.3571316472,797651658.5358752,5681363.14014439,822977717.1502649,162639257.00488746,40623379.65084517,18627527.87623966,32616396450.298378,397695419.81010747,33235982034.640446
70.0,3524735.5873909453,2772.9628310734615,3763.3721022973177,2714802.0776756783,17767382.622555938,32629.210073435093,28592.631936832302,13701903.535433779,7860792.744476138,27303.668777103503,13571.06612665219,6070493.520620113,15610072.17530067,3879170.0758310766,1806842.4460639227,804142241.0221694,5681363.14014439,831119688.8595093,178249329.18018812,44502549.72667625,20434370.322303586,33420538691.32055,403376782.9502519,34067101723.499954
71.0,3502546.221176019,2991.829841164052,4105.768694580848,2736430.1802882305,17653104.5766204,35300.138083302016,31275.80863083593,13810827.476665448,7809053.844075211,29598.24982206259,14872.252228548654,6118636.653874185,16904984.10822557,4198936.279513959,1958667.9840583464,810532380.5552044,5681363.14014439,839276332.0671467,195154313.2884137,48701486.00619021,22393038.306361932,34231071071.875755,409058146.0903963,34906378055.5671
72.0,3480645.7892250475,3224.751537372176,4474.765314756358,2757728.693922818,17540116.309896603,38151.00038888823,34175.32910224423,13918065.360612253,7757804.998558642,32052.94676409792,16281.214032474581,6166021.840644793,18288733.223446745,4540456.205878806,2121086.0807475224,816823336.411632,5681363.14014439,847454975.0618494,213443046.51186046,53241942.21206902,24514124.387109455,35047894408.287384,414739509.2305407,35753833030.62895
73.0,3459027.450913457,3472.3819937054186,4872.031669125146,2778702.135423707,17428373.378639616,41190.801296886566,37305.46217941297,14023638.357884074,7707021.782503657,34676.21904282995,17805.32295568992,6212657.675497832,19765895.62987619,4904836.032931426,2294656.232660571,823016334.5164887,5681363.14014439,855663085.5521013,233208942.14173666,58146778.245000444,26808780.619770028,35870910742.80387,420420872.3706851,36609496116.18105
74.0,3437684.369199405,3735.3884828742325,5299.311932001153,2799354.930385714,17317830.98445006,44428.76619366434,40681.16400795133,14127567.085348314,7656679.444250805,37476.76596158702,19452.326524914617,6258552.4632627005,21341169.308149192,5293210.41335642,2479953.7908961456,829112567.368923,5681363.14014439,863908264.0214691,254550111.44988585,63439988.65835686,29288734.410666175,36700023310.17279,426102235.5108295,37473404380.20252
75.0,3416609.7098854347,4014.4504892964273,5758.425984754899,2819691.4136405084,17208443.972686384,47874.3293115312,44318.092700009794,14229871.605302064,7606752.90775777,40463.51712959277,21230.3579203584,6303714.217192287,23019368.47938186,5706741.05617721,2677569.3283972503,835113193.9641825,5681363.14014439,872198235.9682832,277569479.9292677,69146729.71453407,31966303.739063427,37535136504.13697,431783598.6509739,38345602616.17081
76.0,3395796.641193738,4310.2585832075365,6251.270482124108,2839715.8297409248,17100166.834512316,51537.11931600068,48232.62145052332,14330571.42472115,7557216.777251723,43645.62076642822,23147.944763525265,6348150.6572183315,24805416.841784567,6146615.037854988,2888107.8658670834,841019339.7216914,5681363.14014439,880540842.6073424,302374896.77105224,75293344.75238906,34854411.60493051,38376155843.858665,437464961.7911183,39226143458.77815
77.0,3375238.333629867,4623.513163888499,6779.819767143647,2859432.333439095,16992953.712255433,55426.94285663484,52441.85035258522,14429685.494535336,7508045.344426804,47032.43002550774,25214.017284852707,6391869.208262843,26704339.75427881,6614042.861251501,3112187.966685559,846832096.4158448,5681363.14014439,888944030.138205,329079236.525331,81907387.61364056,37966599.57161607,39222987940.27451,443146324.93126273,40115087488.91636
78.0,3354927.960100686,4954.923088244835,7346.126655414628,2878844.990155649,16886758.40765051,59553.76636182715,56963.6170757796,14527232.208911872,7459212.597843482,50633.48762038374,27437.915941236635,6434876.998594906,28721255.515221097,7110256.297562301,3350440.7195914756,852552522.1084083,5681363.14014439,897415837.7809275,357800492.04055214,89017643.91120286,41317040.291207545,40075540462.38292,448827688.07140714,41012503326.69729
79.0,3334858.696414616,5305.204133812793,7952.3229955763545,2897957.7764559886,16781534.39459048,63927.69519269264,61816.50550549645,14623229.40471132,7410692.23581386,54458.50782996202,29829.39800206384,6477180.858354121,30861365.260070644,7636505.8991072355,3603508.548051577,858181641.0932863,5681363.14014439,905964383.9406601,388661857.30062276,96654149.8103101,44920548.83925912,40933722103.476204,454509051.21155155,41918467710.63795
80.0,3315023.722113911,5675.077320076203,8600.620037025308,2916774.580528981,16677234.835743312,68558.95055947539,67019.8526216951,14717694.361075506,7362457.682256451,58517.356290556585,32398.643240517304,6518787.318212483,33129941.69106265,8194058.2335106945,3872043.873287643,863720443.8510548,5681363.14014439,914597850.7890601,421791798.9916854,104848208.04382078,48792592.71254676,41797442547.327255,460190414.35169595,42833065561.42701
81.0,3295416.2216732185,6065.267072922594,9293.308581764079,2935299.2026720885,16573812.60347822,73457.84394761563,72593.75338440221,14810643.79918975,7314482.105873546,62820.02731693754,35156.258603109076,6559702.608206416,35532316.50463063,8784192.807480767,4156707.6139141093,869169887.0160407,5681363.14014439,923324467.0822105,457324115.496316,113632400.85130155,52949300.32646087,42666612434.34329,465871777.49184036,43756390028.50922
82.0,3276029.386111912,6476.499217751549,10032.75887919188,2953535.3557911385,16471220.305673456,78634.748816151,78559.06319597442,14902093.882314406,7266738.443076727,67376.61850155631,38113.28161049007,6599932.656811235,38073866.38777497,9408198.649913285,4458167.505606,874530893.3622239,5681363.14014439,932152489.0456625,495397981.88409096,123040599.50121483,57407467.83206687,43541143327.70551,471553140.6319848,44688542517.55488
83.0,3256856.415008342,6909.498806523218,10821.42027183621,2971486.665913292,16369410.316277241,84100.0696387702,84937.3980124009,14992060.216071574,7219199.424571221,72197.30265401794,41281.1825267634,6639483.090248005,40759997.61790125,10067370.562783225,4777096.244903589,879804351.8070474,5681363.14014439,941090179.3727797,536157979.5019922,133107970.06399806,62184564.07697046,44420947679.51256,477234503.7721292,45629632696.92766
84.0,3237890.5189545937,7364.987768459446,11661.82055624306,2989156.6727206977,16268334.811107615,89864.20810132542,91751.13171971239,15080557.849071335,7171837.605963863,77292.29687489182,44671.86507444408,6678359.2320868075,43596129.16242258,10763005.015718162,5114169.443544609,884991117.4387072,5681363.14014439,950145784.200537,579754108.6644148,143870975.0797162,67298733.52051507,45305938796.95126,482915866.9122736,46579778481.1282
85.0,3219124.922472304,7843.682377121589,12556.565042584203,3006548.8301079837,16167945.809132248,95937.5263485004,99023.39060168464,15167601.273917554,7124625.4025735725,82671.82865550596,48297.66559344723,6716566.103177481,46587674.22133301,11496395.670751953,5470063.386159845,890092011.56958,5681363.14014439,959327507.9879692,626341782.8857478,155367370.75046816,72768796.90667492,46196030808.52084,488597230.052418,47539105989.116165
86.0,3200552.867414648,8346.290529293814,13508.335287044256,3023666.5067690075,16068195.21950419,102330.3072055048,106778.04463478422,15253204.428655507,7077535.128631457,88346.09892069327,52171.35049357287,6754108.421954284,49740020.171049066,12268828.527576663,5845452.585844524,895107821.8198658,5681363.14014439,968643486.2444804,676081803.0567969,167636199.27804482,78614249.49251944,47091138630.340706,494278593.1925624,48507749475.36065
87.0,3182167.6168741384,8873.508831583817,14519.887476838127,3040512.986817433,15969034.894622358,109052.71128865628,115039.69537251361,15337380.698716462,7030539.041078058,94325.24190990556,56306.1118544807,6790990.605157562,53058506.858754106,13081576.677748077,6241007.130695609,900039302.2351265,5681363.14014439,978101756.0424687,729140309.9155511,180717775.9557929,84855256.62321505,47991177932.575836,499959956.3327068,49485851231.403114
88.0,3163962.4596114433,9426.019493169286,15594.050450101193,3057091.4704452795,15870416.689376293,116114.73098375207,123833.66023446122,15420142.919405483,6983609.388055872,100619.28187182183,60715.56106589153,6827216.76900642,56548403.23494023,13935894.6650104,6657389.819671389,904887173.4407327,5681363.14014439,987710224.3004991,785688713.1504912,194653670.6208033,91512646.44288644,48896065106.01657,505641319.4728512,50473561455.70361
89.0,3145930.7150354856,10004.487019971863,16733.72331803851,3073405.0746264975,15772292.52691427,123526.14121804552,133185.95284919642,15501503.379018476,6936718.462326566,107238.08648518343,65413.720300188244,6862790.730888067,60214882.28108466,14833012.441842489,7095253.082006911,909652122.8389014,5681363.14014439,997476633.7839798,845903595.4315759,209486683.0626458,98607899.52489336,49805717228.85547,511322682.6129956,51471038089.487595
90.0,3128065.7387421103,10609.554711958242,17941.872677245297,3089456.833868679,15674614.471005332,131296.4470502673,143123.25932149688,15581473.822622893,6889838.65964595,114191.31702401639,70415.01174119032,6897716.011588848,64062994.24337002,15774128.9249948,7555235.681387828,914334804.8505559,5681363.14014439,1007408526.8404529,909966589.674946,225260811.9876406,106163135.20628119,50720052033.706024,517004045.75314003,52478446616.32805
91.0,3110360.928639066,11241.840959906094,19221.529381019118,3105249.7010200024,15577334.805309953,139434.82802092974,153672.9100822419,15660065.456586866,6842942.542307203,121488.37519705911,75734.24436427726,6931995.838131465,68097638.13822411,16760405.142205428,8037959.200245682,918935841.2076029,5681363.14014439,1017513206.8284224,978064227.8131701,242021217.129846,114201094.40652686,51638987874.91363,522685408.89328444,53495959823.15647
