confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date.1
2654767,13.0,0,14,0.0,10-19,2022-08-05,2022-08-05
2666100,13.0,0,14,0.0,10-19,2022-08-06,2022-08-06
2666100,13.0,0.00%,14,0.0,10-19,2022-08-06,2022-08-06
2676711,13.0,0.00%,14,0.0,10-19,2022-08-07,2022-08-07
2682112,13.06,0,14,0.06,10-19,2022-08-08,2022-08-08
2695624,13.03,0,14,0.06,10-19,2022-08-09,2022-08-09
2710299,13.0,0,14,0.0,10-19,2022-08-10,2022-08-10
2724110,13.0,0,14,0.0,10-19,2022-08-11,2022-08-11
2736954,13.0,0.00%,14,0.0,10-19,2022-08-12,2022-08-12
2749265,13.0,0,14,0.0,10-19,2022-08-13,2022-08-13
2761133,13.0,0,14,0.0,10-19,2022-08-14,2022-08-14
2767637,13.0,0,14,0.0,10-19,2022-08-15,2022-08-15
2775714,13.0,0,14,0.0,10-19,2022-08-16,2022-08-16
2792752,13.0,0,14,0.0,10-19,2022-08-17,2022-08-17
2811538,12.86,0,15,0.06,10-19,2022-08-18,2022-08-18
2826556,13.0,0,15,0.0,10-19,2022-08-19,2022-08-19
2841434,12.84,0,15,0.06,10-19,2022-08-20,2022-08-20
2853482,12.83,0,15,0.06,10-19,2022-08-21,2022-08-21
2860752,13.0,0,15,0.0,10-19,2022-08-22,2022-08-22
2879136,12.82,0,15,0.06,10-19,2022-08-23,2022-08-23
2895420,12.82,0,16,0.06,10-19,2022-08-24,2022-08-24
2908143,12.81,0,16,0.06,10-19,2022-08-25,2022-08-25
2920341,12.81,0,16,0.06,10-19,2022-08-26,2022-08-26
2932494,12.81,0.00,16,0.06,10-19,2022-08-27,2022-08-27
2942409,12.8,0.00,16,0.06,10-19,2022-08-28,2022-08-28
2948262,12.8,0,16,0.06,10-19,2022-08-29,2022-08-29
2964172,13.0,0,16,0.0,10-19,2022-08-30,2022-08-30
2976751,13.0,0,16,0.0,10-19,2022-08-31,2022-08-31
2985507,12.8,0,16,0.06,10-19,2022-09-01,2022-09-01
2997835,13.0,0,16,0.0,10-19,2022-09-02,2022-09-02
3008595,13.0,0,16,0.0,10-19,2022-09-03,2022-09-03
3017723,13.0,0,16,0.0,10-19,2022-09-04,2022-09-04
3017723,13.0,0,16,0.0,10-19,2022-09-04,2022-09-04
3023067,13.0,0,16,0.0,10-19,2022-09-05,2022-09-05
3037523,13.0,0,16,0.0,10-19,2022-09-06,2022-09-06
3047999,12.81,0,16,0.06,10-19,2022-09-07,2022-09-07
3056811,12.81,0,16,0.06,10-19,2022-09-08,2022-09-08
3065517,13.0,0,16,0.0,10-19,2022-09-09,2022-09-09
3070590,12.81,0,16,0.06,10-19,2022-09-10,2022-09-10
3070590,12.81,0,16,0.06,10-19,2022-09-10,2022-09-10
3073943,12.81,0.00,16,0.06,10-19,2022-09-11,2022-09-11
3078566,12.81,0.00,16,0.06,10-19,2022-09-12,2022-09-12
3085939,12.81,0,16,0.06,10-19,2022-09-13,2022-09-13
3098054,12.81,0,16,0.06,10-19,2022-09-14,2022-09-14
3106685,12.8,0,16,0.06,10-19,2022-09-15,2022-09-15
3112740,12.8,0,16,0.06,10-19,2022-09-16,2022-09-16
3118034,12.8,0,16,0.06,10-19,2022-09-17,2022-09-17
3122214,12.8,0,16,0.06,10-19,2022-09-18,2022-09-18
3124650,13.0,0,16,0.0,10-19,2022-09-19,2022-09-19
3131178,13.0,0,16,0.0,10-19,2022-09-20,2022-09-20
3136238,13.0,0,16,0.0,10-19,2022-09-21,2022-09-21
3140046,13.0,0,16,0.0,10-19,2022-09-22,2022-09-22
3143571,13.0,0,16,0.0,10-19,2022-09-23,2022-09-23
3147335,12.8,0,16,0.06,10-19,2022-09-24,2022-09-24
3150382,12.8,0,16,0.06,10-19,2022-09-25,2022-09-25
3152282,12.8,0.00,16,0.06,10-19,2022-09-26,2022-09-26
3157531,13.0,0,16,0.0,10-19,2022-09-27,2022-09-27
3161920,13.0,0,16,0.0,10-19,2022-09-28,2022-09-28
3165409,13.0,0,16,0.0,10-19,2022-09-29,2022-09-29
3165409,13.0,0,16,0.0,10-19,2022-09-29,2022-09-29
3168905,13.0,0,16,0.0,10-19,2022-09-30,2022-09-30
3172121,12.79,0.00,16,0.06,10-19,2022-10-01,2022-10-01
