Date,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+
2021-12-10,6190399.505416651,8449.575551163513,47223.91903218676,0.0,31393627.66531733,18487.550982573997,118391.78370013293,0.0,13847259.974535858,37331.27665520326,87568.7488089522,0.0
2021-12-11,6189197.625011812,8831.378607268074,48043.996380921264,0.0,31391902.62423583,19270.084251020355,119334.2915131859,0.0,13844475.818279903,38761.37537575351,88922.80634435719,0.0
2021-12-12,6188146.844993716,9018.456281359566,48907.69872492517,0.0,31390256.295693398,19913.667258185666,120337.03704845467,0.0,13841766.432311624,40054.82935771734,90338.73833067158,0.0
2021-12-13,6187231.383487341,9051.14924618962,49790.467266470485,0.0,31388887.98087864,20230.832875756256,121388.18624564182,0.0,13839531.126003278,40819.19754854691,91809.67644818865,0.0
2021-12-14,6186248.335823674,9151.755590415916,50672.908585911835,0.0,31387578.921809867,20467.673747068486,122460.40444310138,0.0,13837574.17438552,41275.87606621665,93309.94954827796,0.0
2021-12-15,6184907.700366603,9601.786141613928,51563.513491784266,0.0,31385420.223832082,21539.8568260618,123546.91934189256,0.0,13834562.72413326,42772.63401503825,94824.64185171497,0.0
2021-12-16,6183641.5179340625,9925.562873912186,52505.91919202708,0.0,31383231.958428793,22558.04870949867,124716.99286174623,0.0,13831744.84734252,44011.547582316416,96403.60507517823,0.0
2021-12-17,6182315.047530022,10273.867514673162,53484.08495530597,0.0,31381141.5433931,23399.73066661028,125965.7259403259,0.0,13829095.865367895,45029.993298365225,98034.14133375353,0.0
2021-12-18,6180966.467954799,10605.634075339018,54500.89796986358,0.0,31379103.372022804,24125.553021281627,127278.07495595292,0.0,13826557.036074564,45897.55362004369,99705.4103054063,0.0
2021-12-19,6179822.972444648,10695.929815921641,55554.09773943164,0.0,31377454.762397584,24408.132120515253,128644.10548193954,0.0,13824522.56312609,46227.47104628159,101409.96582764135,0.0
2021-12-20,6178822.742933345,10636.938588931436,56613.31847772469,0.0,31376168.982924994,24311.25715451249,130026.75992053261,0.0,13822920.61295523,46117.552436060076,103121.83460872466,0.0
2021-12-21,6177838.809525734,10574.321265315008,57659.8692089525,0.0,31374877.116724595,24235.422810687953,131394.4604647545,0.0,13821444.222128272,45895.90991912919,104819.86795261192,0.0
2021-12-22,6176445.1088717785,10934.531107150631,58693.36002107211,0.0,31372672.08902692,25085.88271740085,132749.02825571783,0.0,13819062.321468035,46598.90624301099,106498.77228896705,0.0
2021-12-23,6175157.575671884,11148.714718756803,59766.70960936059,0.0,31370694.8341682,25644.75445185658,134167.4113799835,0.0,13816903.815329479,47053.15874334647,108203.02592718675,0.0
2021-12-24,6173975.409219931,11236.125378912202,60861.465401158384,0.0,31368932.6712251,25949.239832352483,135625.0889425877,0.0,13815127.830459114,47111.60712366584,109920.56241723144,0.0
2021-12-25,6172860.716546937,11250.609706548177,61961.673746516615,0.0,31367360.796669815,26045.452926267226,137100.75040396003,0.0,13813510.4332712,47017.24998172988,111632.31674708125,0.0
2021-12-26,6171830.524915669,11184.283493229656,63058.19159110255,0.0,31365980.300421834,25949.680333387045,138577.0192448204,0.0,13812056.594854934,46772.421982606844,113330.98316246888,0.0
2021-12-27,6171020.815873625,10911.248056575949,64140.936069800744,0.0,31365005.18551806,25463.85686571592,140037.9576162674,0.0,13811209.249770746,45941.345727441716,115009.40450182167,0.0
2021-12-28,6170293.5205539735,10595.342049503955,65184.137396523736,0.0,31364138.37530614,24917.3567458615,141451.2679480405,0.0,13810537.296793254,44983.16113252451,116639.54207422976,0.0
2021-12-29,6169356.441240956,10533.92429331596,66182.63446572912,0.0,31362590.63164588,25104.216135954994,142812.1522182068,0.0,13809232.494503625,44711.96939816333,118215.53609821977,0.0
2021-12-30,6168444.354413285,10460.183756651466,67168.46183006497,0.0,31361197.69240697,25127.56619667073,144181.7413964,0.0,13808144.572184116,44244.79486705149,119770.63294884052,0.0
2021-12-31,6167482.196722435,10450.660787070032,68140.14249049609,0.0,31359911.601113953,25048.97820234706,145546.42068374166,0.0,13807177.42534886,43687.04471343302,121295.52993771479,0.0
2022-01-01,6166673.8974348875,10293.328188686279,69105.77437642736,0.0,31358820.33321737,24788.913011552257,146897.75377111777,0.0,13806336.902998548,43037.06656718823,122786.030434271,0.0
2022-01-02,6166033.426306769,9992.662165100493,70046.91152813101,0.0,31357898.82198623,24387.43323159342,148220.74478222104,0.0,13805762.83315072,42159.2873719632,124237.87947732469,0.0
2022-01-03,6165507.66086441,9619.579394462931,70945.75974112791,0.0,31357284.925710138,23718.276273371164,149503.79801653218,0.0,13805491.022548107,41028.64157810896,125640.3358737923,0.0
2022-01-04,6165091.389663116,9188.131970155066,71793.47836673015,0.0,31356677.44470022,23104.659342681356,150724.89595713932,0.0,13805226.224227477,39952.26678235973,126981.50899017257,0.0
2022-01-05,6164373.35705495,9116.615473885682,72583.02747116589,0.0,31355342.069180004,23275.972617238804,151888.95820279617,0.0,13804584.131772427,39311.55797680646,128264.31025077497,0.0
2022-01-06,6163675.272192306,9038.038539649971,73359.68926804577,0.0,31354171.51397102,23274.066890007984,153061.419139013,0.0,13804093.45332368,38556.60319391976,129509.9434824078,0.0
2022-01-07,6163144.070638646,8806.283722193724,74122.64563916178,0.0,31353150.821066715,23128.31933813732,154227.8595951886,0.0,13803709.003041092,37737.88624061161,130713.11071830391,0.0
2022-01-08,6162697.683866842,8522.498256919509,74852.81787624018,0.0,31352274.960364692,22855.668833071923,155376.37080227805,0.0,13803319.568594683,36969.467701062254,131870.96370426175,0.0
2022-01-09,6162193.947956223,8335.18597480457,75543.86606897392,0.0,31351467.842218705,22542.648319926953,156496.50946141162,0.0,13803064.923413204,36108.93325141127,132986.14333539145,0.0
2022-01-10,6161772.667286568,8092.287727953999,76208.04498547962,0.0,31350848.32476601,22073.608509373014,157585.0667246585,0.0,13802931.85412988,35173.704455343526,134054.44141478222,0.0
2022-01-11,6161267.707511496,7966.751761959749,76838.54072654646,0.0,31350138.250099633,21739.499003095054,158629.25089731318,0.0,13802893.126336955,34194.36664148704,135072.5070215648,0.0
2022-01-12,6160648.900215128,7973.907791714781,77450.1919931587,0.0,31348555.39635412,22311.120585838165,159640.4830600835,0.0,13802562.488872062,33559.03704269566,136038.47408524834,0.0
