,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+,S_total,I_total,R_total,V_total
2020-11-18,6244621.058576487,132.11579945520043,1319.8256240588564,0.0,31523148.399210077,846.4276015367426,6512.1731883907305,0.0,13963676.751442831,1370.6931459559064,7112.55541122032,0.0,51731446.209229395,2349.2365469478495,14944.554223669908,0.0
2020-11-19,6244561.657704608,181.60132452330038,1329.740970870462,0.0,31523046.96007602,910.174110609193,6549.8658133763265,0.0,13963587.314219886,1429.8998749500229,7142.785905170102,0.0,51731195.93200051,2521.6753100825163,15022.39268941689,0.0
2020-11-20,6244522.306409462,204.90115895788784,1345.7924315815224,0.0,31522915.709405087,998.6296594286301,6592.660935490007,0.0,13963485.028149413,1499.2646809524217,7175.7071696418525,0.0,51730923.04396396,2702.7954993389394,15114.160536713382,0.0
2020-11-21,6244478.03537162,230.28851408815186,1364.6761142933508,0.0,31522735.672709763,1128.7433976960538,6642.583892545134,0.0,13963398.906685261,1549.2999762667055,7211.79333847936,0.0,51730612.61476664,2908.3318880509114,15219.053345317845,0.0
2020-11-22,6244447.858752192,238.50244982713284,1386.638797982903,0.0,31522592.885629226,1211.0576956872812,6703.056675091181,0.0,13963317.965651954,1591.9335774059036,7250.100770647765,0.0,51730358.71003337,3041.493722920318,15339.796243721848,0.0
2020-11-23,6244410.791946182,252.68964359874127,1409.51841022138,0.0,31522495.4009126,1241.539906945237,6770.05918045777,0.0,13963258.216155807,1611.5207656904204,7290.263078510009,0.0,51730164.40901459,3105.7503162343983,15469.840669189158,0.0
2020-11-24,6244384.839538233,254.10343814889862,1434.0570236201158,0.0,31522350.251208503,1317.4920946687823,6839.256696831935,0.0,13963157.667471198,1671.1677689372802,7331.1647598705995,0.0,51729892.75821794,3242.7633017549615,15604.47848032265,0.0
2020-11-25,6244350.009823351,264.3405083802863,1458.6496682706277,0.0,31522196.44749199,1396.1402508112733,6914.412257205285,0.0,13963042.323294997,1742.9517160282908,7374.724988980236,0.0,51729588.78061034,3403.4324752198504,15747.786914456148,0.0
2020-11-26,6244279.303071693,309.2979448327505,1484.3989834768104,0.0,31521932.019553274,1579.2606099939376,6995.719836736594,0.0,13962875.196919942,1863.2900336589328,7421.513046404692,0.0,51729086.51954491,3751.848588485621,15901.631866618096,0.0
2020-11-27,6244225.72506661,331.63570172865667,1515.63923166352,0.0,31521709.998152457,1705.1819793644408,7091.819868182407,0.0,13962675.304485174,2010.852112043304,7473.843402788298,0.0,51728611.02770424,4047.6697931364015,16081.302502634224,0.0
